Title,Year,Date Watched,First Watch,Source,Finished,Watchers
Glass Onion,2022,01/01/2023,Yes,Netflix,Yes,"Nik, Rob"
Shaun of the Dead,2004,04/01/2023,No,Firestick,Yes,"Nik, Rob"
Creep,2014,06/01/2023,No,Netflix,Yes,"Nik, Rob"
I Came By,2022,07/01/2023,Yes,Netflix,Yes,"Nik, Rob"
Star Wars: Episode IV - A New Hope,1977,16/01/2023,No,Firestick,Yes,"Nik, Rob"
Wrong Turn,2003,21/01/2023,No,Netflix,Yes,"Nik, Rob"
Smile,2022,28/01/2023,Yes,Firestick,Yes,"Nik, Rob"
The Menu,2022,03/02/2023,Yes,Firestick,Yes,"Nik, Rob"
M3gan,2022,04/02/2023,Yes,Firestick,Yes,"Nik, Rob"
Paul,2011,08/02/2023,No,Netflix,Yes,"Nik, Rob"
The Stranger,2022,17/02/2023,Yes,Netflix,Yes,"Nik, Rob"
Come Play,2020,18/02/2023,Yes,Netflix,Yes,"Nik, Rob"
Raiders of the Lost Ark,1981,21/02/2023,No,Firestick,Yes,"Nik, Rob"
Knock on the cabin,2023,03/03/2023,No,Firestick,Yes,"Nik, Rob"
Boiling Point,2021,10/03/2023,Yes,Netflix,Yes,"Nik, Rob"
We Have a Ghost,2023,11/03/2023,Yes,Netflix,Yes,"Nik, Rob"
In Fear,2013,17/03/2023,No,Firestick,Yes,"Nik, Rob"
Tucker and Dale vs Evil,2010,25/03/2023,No,Firestick,Yes,"Nik, Rob"
Creep 2,2017,01/04/2023,No,Netflix,Yes,"Nik, Rob"
Poker Face,2022,08/04/2023,Yes,Firestick,Yes,"Nik, Rob"
Ant-Man,2015,09/04/2023,No,Firestick,Yes,"Nik, Rob"
Ant-Man and the Wasp,2018,15/04/2023,Yes,Firestick,Yes,"Nik, Rob"
Sick,2022,22/04/2023,Yes,Firestick,Yes,"Nik, Rob"
Scream VI,2023,30/04/2023,Yes,Firestick,Yes,"Nik, Rob"
There’s something wrong with the children,2023,06/05/2023,Yes,Firestick,Yes,"Nik, Rob"
Hellraiser,1987,07/05/2023,Yes,Firestick,Yes,"Nik, Rob"
The Forever Purge,2021,27/05/2023,Yes,Netflix,Yes,"Nik, Rob"
Ant-Man and the Wasp: Quantumania,2023,28/05/2023,Yes,Firestick,Yes,"Nik, Rob"
The Suicide Squad,2021,03/06/2023,Yes,Amazon Prime,Yes,"Nik, Rob"
Willy’s Wonderland,2021,09/06/2023,Yes,Amazon Prime,Yes,"Nik, Rob"
Landmine goes click,2015,23/06/2023,Yes,Amazon Prime,Yes,"Nik, Rob"
Nightmare Alley,2021,08/07/2023,Yes,Firestick,Yes,"Nik, Rob"
Mission: Impossible - Dead Reckoning Part One,2023,11/07/2023,Yes,Cinema,Yes,"Nik, Rob"
Freaky,2020,22/07/2023,Yes,Netflix,Yes,"Nik, Rob"
Insidious: The Red Door,2023,04/08/2023,Yes,Firestick,Yes,"Nik, Rob"
Mission: Impossible,1996,12/08/2023,No,Paramount+,Yes,"Nik, Rob"
Mission: Impossible II,2000,19/08/2023,No,Paramount+,Yes,"Nik, Rob"
